小区名称,销售情况,区划,区域,周边地铁,建筑材质,建造年份,房价,在售房数,成交数量,正在出租,Cluster
华世隆国际公寓,"['30天成交0套', '4套正在出租']",东城,安贞,近地铁5号线和平西桥站,2,2001年,53176.0,,30,4,2
华人一品大厦,"['30天成交0套', '5套正在出租']",东城,东四,近地铁5号线张自忠路站,3,2007年,47959.0,,30,5,2
黄寺大街2号院,"['30天成交0套', '3套正在出租']",东城,安定门,近地铁8号线安德里北街站,11,1990-1992年,114068.0,,30,3,1
海晟名苑北区,"['30天成交0套', '21套正在出租']",东城,工体,近地铁2号线东直门站,0,2007-2008年,101827.0,,30,21,1
花市东三条,"['30天成交0套', '0套正在出租']",东城,东花市,,11,1970-1987年,102476.0,,30,0,1
北河沿大街,"['30天成交0套', '3套正在出租']",东城,灯市口,近地铁8号线中国美术馆站,8,1978-1993年,117934.0,,30,3,1
北官厅胡同2号院,"['30天成交0套', '4套正在出租']",东城,东直门,近地铁2号线雍和宫站,11,1985-1990年,109882.0,,30,4,1
北岗子街,"['30天成交0套', '0套正在出租']",东城,崇文门,近地铁5号线磁器口站,14,1949-1994年,84092.0,,30,0,4
北官厅胡同甲二号院,"['30天成交0套', '8套正在出租']",东城,东直门,近地铁2号线雍和宫站,11,1988-1993年,114316.0,,30,8,1
板厂胡同,"['30天成交0套', '2套正在出租']",东城,地安门,近地铁6号线南锣鼓巷站,9,1980-1990年,223388.0,,30,2,6
花园东巷,"['30天成交0套', '1套正在出租']",东城,安定门,近地铁2号线安定门站,9,1980年,147402.0,,30,1,3
海运仓胡同3号院,"['30天成交0套', '1套正在出租']",东城,东直门,近地铁2号线东直门站,5,1975-1998年,105704.0,,30,1,1
鸿运花园,"['30天成交0套', '1套正在出租']",东城,左安门,近地铁5号线天坛东门站,11,1996年,97332.0,,30,1,1
花园胡同8号院,"['30天成交0套', '1套正在出租']",东城,安定门,近地铁2号线安定门站,11,1985-1992年,130308.0,,30,1,3
后永康胡同6号院,"['30天成交0套', '1套正在出租']",东城,东直门,近地铁2号线雍和宫站,14,1980-1990年,106399.0,,30,1,1
南吉祥胡同,"['共4个户型', '30天成交0套', '0套正在出租']",东城,东四,近地铁5号线张自忠路站,9,1950-1980年,225352.0,,4,0,6
南锣鼓巷,"['30天成交0套', '1套正在出租']",东城,地安门,近地铁8号线什刹海站,6,1980-2000年,143533.0,,30,1,3
南剪子巷,"['30天成交0套', '0套正在出租']",东城,东四,近地铁5号线张自忠路站,9,1989-2010年,237573.0,,30,0,6
南河沿大街,"['30天成交0套', '0套正在出租']",东城,东单,近地铁1号线八通线天安门东站,12,1980-1990年,,,30,0,0
南水关胡同,"['30天成交0套', '0套正在出租']",东城,朝阳门内,近地铁2号线朝阳门站,9,1980-2009年,,,30,0,0
南月牙胡同,"['30天成交0套', '0套正在出租']",东城,东四,近地铁6号线南锣鼓巷站,9,2013年,,,30,0,0
内务部街,"['30天成交0套', '1套正在出租']",东城,金宝街,近地铁5号线灯市口站,14,1970-2010年,230183.0,,30,1,6
南新仓商务大厦,"['30天成交0套', '0套正在出租']",东城,朝阳门内,近地铁2号线东四十条站,2,2000年,,,30,0,0
南顺成街,"['30天成交0套', '0套正在出租']",东城,朝阳门内,近地铁2号线朝阳门站,9,1980年,,,30,0,0
碾子胡同,"['30天成交0套', '0套正在出租']",东城,东四,近地铁6号线南锣鼓巷站,9,1980-2019年,,,30,0,0
普渡寺前巷,"['30天成交0套', '0套正在出租']",东城,东单,近地铁1号线八通线天安门东站,13,1965-2003年,140352.0,,30,0,3
平安发展大厦,"['30天成交0套', '0套正在出租']",东城,东四,近地铁5号线张自忠路站,2,未知,,,30,0,0
