小区名称,销售情况,区划,区域,周边地铁,建筑材质,建造年份,房价,在售房数,成交数量,正在出租,Cluster
莲花池西路8号院,"['30天成交0套', '0套正在出租']",丰台,六里桥,,2,2000年,,,30,0,0
顺四条甲20号院,"['30天成交0套', '1套正在出租']",丰台,刘家窑,近地铁5号线刘家窑站,12,1995-1999年,52622.0,,30,1,2
三星庄园,"['30天成交0套', '6套正在出租']",丰台,马家堡,,12,2003-2005年,53687.0,,30,6,2
苗圃东里,"['30天成交0套', '14套正在出租']",丰台,赵公口,近地铁10号线大红门站,5,1980-2002年,51717.0,,30,14,2
苗圃西里,"['共91个户型', '30天成交0套', '9套正在出租']",丰台,大红门,近地铁10号线大红门站,11,1979-1990年,60497.0,,91,9,2
明日嘉园,"['30天成交0套', '18套正在出租']",丰台,马家堡,近地铁4号线大兴线角门西站,3,2003-2007年,66122.0,,30,18,4
梅市口路11号院,"['30天成交0套', '5套正在出租']",丰台,岳各庄,,11,1996-1998年,51900.0,,30,5,2
民岳家园三期,"['30天成交0套', '19套正在出租']",丰台,岳各庄,,6,1996-2010年,49472.0,,30,19,2
梅源里小区,"['30天成交0套', '12套正在出租']",丰台,万源,近地铁8号线火箭万源站,5,1995-2000年,55480.0,,30,12,2
南宫雅苑二期,"['30天成交0套', '3套正在出租']",丰台,丰台其它,,11,2003-2009年,31281.0,,30,3,5
四方景园一区,"['共142个户型', '30天成交0套', '9套正在出租']",丰台,成寿寺,,2,1999-2005年,52023.0,,142,9,2
云岗南区东里23,"['30天成交0套', '0套正在出租']",丰台,丰台其它,,11,1987-1998年,43199.0,,30,0,2
西四环南路32号,"['共32个户型', '30天成交0套', '1套正在出租']",丰台,七里庄,,11,1979年,44262.0,,32,1,2
马家堡路89号,"['30天成交0套', '0套正在出租']",丰台,马家堡,近地铁10号线角门东站,11,1995年,,,30,0,0
丰台路口50号,"['30天成交0套', '0套正在出租']",丰台,岳各庄,,11,1980-1990年,51588.0,,30,0,2
首科大厦,"['30天成交0套', '0套正在出租']",丰台,太平桥,,2,2010-2013年,,,30,0,0
庑殿路,"['30天成交0套', '0套正在出租']",丰台,赵公口,近地铁8号线大红门南站,11,未知,,,30,0,0
西四环中路79号院,"['30天成交0套', '0套正在出租']",丰台,青塔,,2,未知,,,30,0,0
小屯路18号院,"['30天成交0套', '0套正在出租']",丰台,青塔,,11,未知,,,30,0,0
万源西里,"['30天成交0套', '0套正在出租']",丰台,万源,近地铁8号线火箭万源站,11,1959-1999年,48279.0,,30,0,2
角门18号院,"['30天成交0套', '0套正在出租']",丰台,马家堡,,11,未知,,,30,0,0
葛村西里1号院,"['30天成交0套', '0套正在出租']",丰台,玉泉营,近地铁10号线丰台站站,0,2010年,,,30,0,0
朱家坟二里,"['30天成交0套', '0套正在出租']",丰台,丰台其它,,0,1992年,39082.0,,30,0,5
云岗西路12号院,"['30天成交0套', '0套正在出租']",丰台,丰台其它,,11,1985-1995年,44243.0,,30,0,2
阅园小区,"['30天成交0套', '0套正在出租']",丰台,岳各庄,,12,2007年,,,30,0,0
新宫家园,"['30天成交0套', '0套正在出租']",丰台,新宫,近地铁4号线大兴线新宫站,11,2010年,,,30,0,0
总部基地东区,"['30天成交0套', '0套正在出租']",丰台,科技园区,近地铁9号线丰台科技园站,2,未知,,,30,0,0
四路通68号院,"['30天成交0套', '0套正在出租']",丰台,洋桥,,11,未知,,,30,0,0
洋桥,"['30天成交0套', '0套正在出租']",丰台,洋桥,,5,1980-1990年,48126.0,,30,0,2
大瓦窑绿洲家园,"['30天成交0套', '10套正在出租']",丰台,青塔,近地铁14号线大瓦窑站,11,2001-2018年,44654.0,,30,10,2
尚三环,"['30天成交0套', '4套正在出租']",丰台,宋家庄,近地铁5号线宋家庄站,2,2003-2005年,27774.0,,30,4,5
横三条15号,"['30天成交0套', '0套正在出租']",丰台,宋家庄,近地铁5号线宋家庄站,11,1975年,49329.0,,30,0,2
广安路1号,"['30天成交0套', '0套正在出租']",丰台,广安门,近地铁7号线湾子站,11,未知,,,30,0,0
菊源北里,"['30天成交0套', '3套正在出租']",丰台,万源,近地铁8号线火箭万源站,11,2000-2004年,,,30,3,0
紫峪家园,"['30天成交0套', '0套正在出租']",丰台,丰台其它,,11,2000-2004年,,,30,0,0
政怡家园,"['30天成交0套', '12套正在出租']",丰台,宋家庄,近地铁5号线刘家窑站,0,2006年,57978.0,,30,12,2
张仪村4号院,"['共108个户型', '30天成交0套', '1套正在出租']",丰台,青塔,,11,1992-1995年,35670.0,,108,1,5
正阳大街,"['30天成交0套', '0套正在出租']",丰台,北大地,近地铁9号线丰台东大街站,14,1989年,63194.0,,30,0,2
四营门北路二号院,"['30天成交0套', '1套正在出租']",丰台,万源,近地铁8号线东高地站,5,1986-1996年,,,30,1,0
首开石榴派,"['30天成交0套', '7套正在出租']",丰台,刘家窑,近地铁10号线石榴庄站,12,2011年,24791.0,,30,7,5
东大街35号院,"['30天成交0套', '2套正在出租']",丰台,北大地,近地铁9号线丰台东大街站,11,1990-1995年,52790.0,,30,2,2
程庄路6号院,"['30天成交0套', '0套正在出租']",丰台,五里店,,11,1993-1996年,38049.0,,30,0,5
大成时代公馆,"['30天成交0套', '13套正在出租']",丰台,岳各庄,,11,2010年,22836.0,,30,13,5
东滨河路2号院,"['共93个户型', '30天成交0套', '2套正在出租']",丰台,北京南站,近地铁14号线 景风门站,12,1997-2001年,66202.0,,93,2,4
东安街头条1号院,"['共103个户型', '30天成交0套', '4套正在出租']",丰台,北大地,,11,1980-2000年,72633.0,,103,4,4
靛厂路8号院,"['30天成交0套', '0套正在出租']",丰台,六里桥,,12,2006年,,,30,0,0
大成时代中心,"['30天成交0套', '5套正在出租']",丰台,岳各庄,,2,2010-2011年,,,30,5,0
大成郡,"['30天成交3套', '30套正在出租']",丰台,岳各庄,,5,2010-2018年,81669.0,,30,30,4
靛厂锦园,"['30天成交0套', '7套正在出租']",丰台,岳各庄,,12,2005-2011年,55807.0,,30,7,2
祥和苑,"['共45个户型', '30天成交0套', '0套正在出租']",丰台,北京南站,近地铁14号线 景风门站,0,1999-2001年,67041.0,,45,0,4
小井润园二区,"['30天成交0套', '0套正在出租']",丰台,七里庄,近地铁9号线七里庄站,3,2007-2008年,,,30,0,0
新华街一里,"['共103个户型', '30天成交0套', '4套正在出租']",丰台,看丹桥,近地铁9号线丰台南路站,11,1983-1999年,48193.0,,103,4,2
夏季星空,"['30天成交0套', '0套正在出租']",丰台,草桥,近地铁4号线大兴线角门西站,11,2004年,78002.0,,30,0,4
辛佳竹园,"['30天成交0套', '0套正在出租']",丰台,丰台其它,,11,2003年,,,30,0,0
新开路16号院,"['共30个户型', '30天成交0套', '2套正在出租']",丰台,看丹桥,近地铁16号线富丰桥站,11,1981-1985年,41407.0,,30,2,2
西局欣园北区,"['30天成交0套', '2套正在出租']",丰台,七里庄,近地铁9号线七里庄站,11,2007年,84884.0,,30,2,4
鑫福里小区,"['30天成交0套', '5套正在出租']",丰台,大红门,近地铁10号线大红门站,5,1996-1999年,48341.0,,30,5,2
西府兰庭,"['30天成交0套', '2套正在出租']",丰台,岳各庄,,12,2006-2008年,74631.0,,30,2,4
新华路1号院,"['30天成交0套', '4套正在出租']",丰台,和义,,11,1987-1993年,36686.0,,30,4,5
新华街东升地28号院,"['30天成交0套', '2套正在出租']",丰台,看丹桥,近地铁9号线丰台南路站,11,1989-1995年,47533.0,,30,2,2
新华街二里,"['30天成交0套', '3套正在出租']",丰台,看丹桥,近地铁9号线丰台南路站,11,1958-1996年,49951.0,,30,3,2
幸福路,"['30天成交0套', '0套正在出租']",丰台,北京南站,近地铁4号线大兴线北京南站站,11,1996年,,,30,0,0
幸福路6号院,"['30天成交0套', '2套正在出租']",丰台,北京南站,近地铁4号线大兴线北京南站站,11,1989-2004年,53561.0,,30,2,2
新华街五里,"['30天成交2套', '17套正在出租']",丰台,看丹桥,近地铁9号线丰台南路站,6,1982-2002年,51220.0,,30,17,2
新华街八里,"['30天成交0套', '3套正在出租']",丰台,看丹桥,近地铁9号线丰台南路站,2,2001-2002年,53276.0,,30,3,2
新华里2号,"['30天成交0套', '0套正在出租']",丰台,和义,近地铁8号线和义站,11,1981年,,,30,0,0
万恒家园,"['30天成交1套', '13套正在出租']",丰台,青塔,近地铁14号线郭庄子站,11,2005年,55423.0,,30,13,2
万科紫台,"['30天成交0套', '2套正在出租']",丰台,岳各庄,,11,2006-2008年,77625.0,,30,2,4
万科紫苑,"['30天成交0套', '28套正在出租']",丰台,青塔,近地铁14号线郭庄子站,11,2008-2014年,73658.0,,30,28,4
未来66,"['30天成交0套', '12套正在出租']",丰台,马家堡,近地铁4号线大兴线马家堡站,5,2004年,59728.0,,30,12,2
天骄俊园9号院,"['共106个户型', '30天成交1套', '0套正在出租']",丰台,新宫,近地铁19号线 新发地站,12,2012-2013年,48373.0,,106,0,2
马家堡路90号院,"['30天成交0套', '0套正在出租']",丰台,洋桥,,10,未知,,,30,0,0
天骄俊园8号院,"['30天成交0套', '1套正在出租']",丰台,新宫,近地铁19号线 新发地站,11,2012年,45533.0,,30,1,2
中海苏黎世家,"['30天成交0套', '11套正在出租']",丰台,科技园区,,5,2012年,74792.0,,30,11,4
东亚中轴国际,"['30天成交0套', '0套正在出租']",丰台,大红门,近地铁8号线海户屯站,5,2012年,,,30,0,0
玫瑰花园,"['30天成交0套', '0套正在出租']",丰台,草桥,近地铁10号线草桥站,11,1995年,,,30,0,0
德福缘,"['30天成交0套', '0套正在出租']",丰台,宋家庄,,0,2012年,,,30,0,0
彩虹家园,"['30天成交0套', '1套正在出租']",丰台,五里店,,11,2012-2015年,51223.0,,30,1,2
华富苑,"['30天成交0套', '0套正在出租']",丰台,玉泉营,近地铁9号线丰台南路站,11,2004年,,,30,0,0
国际名酒城,"['30天成交0套', '0套正在出租']",丰台,花乡,近地铁19号线 新发地站,10,未知,,,30,0,0
德鑫家园,"['30天成交0套', '1套正在出租']",丰台,新宫,近地铁4号线大兴线新宫站,11,未知,,,30,1,0
三角地,"['30天成交0套', '4套正在出租']",丰台,万源,近地铁8号线东高地站,11,1962-1999年,39168.0,,30,4,5
益嘉园,"['30天成交0套', '0套正在出租']",丰台,马家堡,近地铁4号线大兴线公益西桥站,12,2004年,,,30,0,0
中景未山赋,"['30天成交0套', '1套正在出租']",丰台,六里桥,近地铁9号线六里桥站,11,2011-2013年,79236.0,,30,1,4
方恒偶寓,"['30天成交0套', '13套正在出租']",丰台,宋家庄,,3,2011年,38795.0,,30,13,5
青塔西路,"['30天成交0套', '0套正在出租']",丰台,岳各庄,,11,未知,,,30,0,0
青秀城,"['30天成交0套', '24套正在出租']",丰台,玉泉营,,7,2010-2013年,70457.0,,30,24,4
杜家坎4号院,"['30天成交0套', '1套正在出租']",丰台,丰台其它,,11,1995年,22998.0,,30,1,5
右安门外大街56号院,"['30天成交0套', '0套正在出租']",丰台,北京南站,近地铁14号线 景风门站,3,2002年,,,30,0,0
张郭庄40号院,"['30天成交0套', '0套正在出租']",丰台,丰台其它,,11,未知,,,30,0,0
桃杨路,"['30天成交0套', '0套正在出租']",丰台,蒲黄榆,近地铁5号线蒲黄榆站,9,1950年,,,30,0,0
熙公馆,"['30天成交0套', '8套正在出租']",丰台,青塔,,2,2012-2013年,27628.0,,30,8,5
丽泽景园,"['30天成交0套', '23套正在出租']",丰台,丽泽,近地铁10号线西局站,11,2012-2014年,76509.0,,30,23,4
太平桥路,"['30天成交0套', '0套正在出租']",丰台,菜户营,近地铁房山线东管头南站,5,2004年,105242.0,,30,0,1
张仪村路98号院,"['30天成交0套', '0套正在出租']",丰台,青塔,,10,未知,,,30,0,0
五爱屯东街64号院,"['30天成交0套', '0套正在出租']",丰台,西红门,,11,1986-1993年,32895.0,,30,0,5
锦苑B区,"['30天成交0套', '0套正在出租']",丰台,和义,,11,2000-2013年,,,30,0,0
亿朋苑三区,"['30天成交0套', '26套正在出租']",丰台,玉泉营,近地铁10号线纪家庙站,12,2005-2022年,,,30,26,0
兆丰馨园东区,"['30天成交0套', '0套正在出租']",丰台,青塔,,11,2014年,,,30,0,0
小屯路东里2号院,"['30天成交0套', '0套正在出租']",丰台,青塔,,11,未知,,,30,0,0
新华路1号院,"['30天成交0套', '4套正在出租']",丰台,和义,,11,1987-1993年,36686.0,,30,4,5
新村二里,"['共188个户型', '30天成交1套', '11套正在出租']",丰台,玉泉营,近地铁9号线丰台南路站,11,1959-2001年,43284.0,,188,11,2
新城市经典,"['30天成交0套', '13套正在出租']",丰台,科技园区,近地铁9号线科怡路站,2,1999-2001年,43192.0,,30,13,2
西翠芳庭,"['30天成交0套', '10套正在出租']",丰台,青塔,,2,2002-2012年,49942.0,,30,10,2
西安街甲2号,"['共64个户型', '30天成交0套', '3套正在出租']",丰台,北大地,,11,1980-1990年,69046.0,,64,3,4
鑫宝苑,"['30天成交0套', '2套正在出租']",丰台,大红门,近地铁10号线角门东站,11,2002-2007年,52306.0,,30,2,2
新村三里,"['30天成交0套', '5套正在出租']",丰台,玉泉营,近地铁10号线首经贸站,11,1990-2000年,49713.0,,30,5,2
新村四里,"['30天成交0套', '1套正在出租']",丰台,玉泉营,近地铁9号线丰台南路站,11,1960-2000年,43647.0,,30,1,2
西安街4号院,"['30天成交0套', '0套正在出租']",丰台,北大地,,11,1989-1995年,65351.0,,30,0,4
西安街甲4号院,"['30天成交1套', '2套正在出租']",丰台,北大地,,11,1985-1992年,71108.0,,30,2,4
苇子坑2号院,"['30天成交0套', '3套正在出租']",丰台,成寿寺,近地铁10号线成寿寺站,11,2000-2001年,,,30,3,0
西罗园北路,"['30天成交0套', '5套正在出租']",丰台,西罗园,近地铁4号线大兴线北京南站站,11,1986-1995年,56749.0,,30,5,2
西罗园北路15号,"['30天成交0套', '1套正在出租']",丰台,永定门,近地铁14号线永定门外站,11,1995-1998年,56000.0,,30,1,2
鑫融皓月,"['30天成交0套', '6套正在出租']",丰台,卢沟桥,,11,2008年,44717.0,,30,6,2
万源南里,"['30天成交2套', '16套正在出租']",丰台,万源,近地铁8号线火箭万源站,11,1980-2006年,41400.0,,30,16,2
苇子坑1号院,"['30天成交0套', '19套正在出租']",丰台,成寿寺,近地铁10号线成寿寺站,5,1985-1996年,47691.0,,30,19,2
云岗西路12号院,"['30天成交0套', '0套正在出租']",丰台,丰台其它,,11,1985-1995年,44243.0,,30,0,2
阅园小区,"['30天成交0套', '0套正在出租']",丰台,岳各庄,,12,2007年,,,30,0,0
新宫家园,"['30天成交0套', '0套正在出租']",丰台,新宫,近地铁4号线大兴线新宫站,11,2010年,,,30,0,0
总部基地十八区,"['30天成交0套', '0套正在出租']",丰台,科技园区,近地铁9号线丰台科技园站,5,2002年,,,30,0,0
嘉特美公馆,"['30天成交0套', '6套正在出租']",丰台,北京南站,近地铁4号线大兴线北京南站站,5,2011-2012年,65368.0,,30,6,4
亿朋苑二区,"['30天成交0套', '2套正在出租']",丰台,玉泉营,近地铁10号线纪家庙站,11,2003-2010年,,,30,2,0
小屯路10号院,"['30天成交0套', '0套正在出租']",丰台,青塔,,11,2000年,,,30,0,0
云岗南区东里23,"['30天成交0套', '0套正在出租']",丰台,丰台其它,,11,1987-1998年,43199.0,,30,0,2
西四环南路32号,"['共32个户型', '30天成交0套', '1套正在出租']",丰台,七里庄,,11,1979年,44262.0,,32,1,2
马家堡路89号,"['30天成交0套', '0套正在出租']",丰台,马家堡,近地铁10号线角门东站,11,1995年,,,30,0,0
右安门外大街56号院,"['30天成交0套', '0套正在出租']",丰台,北京南站,近地铁14号线 景风门站,3,2002年,,,30,0,0
熙公馆,"['30天成交0套', '8套正在出租']",丰台,青塔,,2,2012-2013年,27628.0,,30,8,5
诺德中心,"['30天成交0套', '2套正在出租']",丰台,科技园区,近地铁9号线丰台科技园站,2,2012-2014年,39809.0,,30,2,5
天创公馆,"['30天成交1套', '2套正在出租']",丰台,方庄,近地铁5号线刘家窑站,12,2006-2007年,76557.0,,30,2,4
淘宝广场,"['30天成交0套', '0套正在出租']",丰台,广安门,近地铁9号线北京西站站,11,2008年,,,30,0,0
天伦北里,"['30天成交0套', '10套正在出租']",丰台,菜户营,近地铁14号线 菜户营站,5,1990-2008年,68088.0,,30,10,4
桃源里,"['30天成交1套', '9套正在出租']",丰台,万源,近地铁8号线火箭万源站,5,1981-2018年,44532.0,,30,9,2
文成建筑,"['共128个户型', '30天成交0套', '3套正在出租']",丰台,成寿寺,近地铁10号线成寿寺站,11,2005-2010年,69020.0,,128,3,4
五爱屯西街,"['30天成交0套', '0套正在出租']",丰台,新宫,,11,1984-2001年,35818.0,,30,0,5
天鸿美域,"['30天成交0套', '23套正在出租']",丰台,青塔,近地铁14号线郭庄子站,12,2005-2010年,60342.0,,30,23,2
天龙华鹤,"['30天成交1套', '14套正在出租']",丰台,科技园区,,2,2006-2010年,41455.0,,30,14,2
汇锦苑,"['30天成交1套', '20套正在出租']",丰台,青塔,,6,2005-2014年,48404.0,,30,20,2
华林家园,"['30天成交0套', '2套正在出租']",丰台,看丹桥,近地铁9号线丰台南路站,11,2003年,52530.0,,30,2,2
海户屯,"['30天成交0套', '9套正在出租']",丰台,大红门,近地铁8号线海户屯站,11,1987-1998年,53062.0,,30,9,2
横七条,"['30天成交1套', '4套正在出租']",丰台,刘家窑,近地铁5号线刘家窑站,11,1980-2001年,41190.0,,30,4,2
红狮家园,"['30天成交2套', '15套正在出租']",丰台,宋家庄,近地铁5号线宋家庄站,13,2010年,53976.0,,30,15,2
花乡世界名园,"['30天成交0套', '0套正在出租']",丰台,科技园区,近地铁房山线大葆台站,11,2000年,,,30,0,0
华源二里,"['30天成交1套', '2套正在出租']",丰台,太平桥,近地铁9号线六里桥东站,2,2002-2005年,72262.0,,30,2,4
和义东里一区,"['共260个户型', '30天成交0套', '3套正在出租']",丰台,和义,近地铁8号线和义站,11,1994-2000年,40625.0,,260,3,2
花园北里,"['30天成交0套', '1套正在出租']",丰台,丰台其它,,11,1981-1998年,26466.0,,30,1,5
和义东里四区,"['30天成交0套', '6套正在出租']",丰台,和义,近地铁8号线和义站,11,1977-1998年,41356.0,,30,6,2
和义东里五区,"['共206个户型', '30天成交0套', '3套正在出租']",丰台,和义,近地铁8号线和义站,11,1983-1994年,40145.0,,206,3,2
和义东里三区,"['30天成交1套', '1套正在出租']",丰台,和义,近地铁8号线和义站,12,1985-1991年,39068.0,,30,1,5
和义东里六区,"['共53个户型', '30天成交0套', '0套正在出租']",丰台,和义,近地铁8号线和义站,11,1994-1995年,41588.0,,53,0,2
海鹰路写字楼,"['30天成交0套', '0套正在出租']",丰台,科技园区,近地铁16号线富丰桥站,2,2002-2004年,,,30,0,0
海鹰路5号院,"['30天成交0套', '0套正在出租']",丰台,科技园区,近地铁16号线富丰桥站,5,未知,,,30,0,0
和园居,"['共40个户型', '30天成交0套', '1套正在出租']",丰台,角门,近地铁4号线大兴线角门西站,12,2005-2006年,61387.0,,40,1,2
鸿业兴园二区,"['共363个户型', '30天成交2套', '30套正在出租']",丰台,玉泉营,近地铁9号线丰台南路站,5,2009-2010年,55284.0,,363,30,2
华源一里小区,"['30天成交0套', '1套正在出租']",丰台,太平桥,近地铁9号线六里桥东站,5,2000-2004年,,,30,1,0
横一条甲18号院,"['30天成交1套', '11套正在出租']",丰台,宋家庄,,12,2010年,52290.0,,30,11,2
华英园小区,"['30天成交0套', '0套正在出租']",丰台,科技园区,近地铁房山线郭公庄站,11,1999-2000年,31069.0,,30,0,5
太平桥华源一里八号院,"['30天成交0套', '1套正在出租']",丰台,太平桥,近地铁9号线六里桥东站,11,1994-2001年,63626.0,,30,1,2
华源新第,"['30天成交0套', '16套正在出租']",丰台,太平桥,,2,1998-2001年,61650.0,,30,16,2
海慧寺,"['30天成交0套', '2套正在出租']",丰台,木樨园,近地铁10号线大红门站,11,1980-1985年,47169.0,,30,2,2
花椒树社区,"['共85个户型', '30天成交2套', '8套正在出租']",丰台,洋桥,近地铁4号线大兴线北京南站站,5,1988-1998年,51309.0,,85,8,2
海户西里33号院,"['共49个户型', '30天成交0套', '1套正在出租']",丰台,洋桥,近地铁10号线角门东站,2,1997-1998年,57507.0,,49,1,2
海户西里32号院,"['30天成交0套', '1套正在出租']",丰台,洋桥,近地铁10号线角门东站,5,1996-1998年,55823.0,,30,1,2
红庭,"['30天成交0套', '0套正在出租']",丰台,岳各庄,,0,2010年,34455.0,,30,0,5
恒松园,"['共168个户型', '30天成交0套', '3套正在出租']",丰台,蒲黄榆,近地铁5号线刘家窑站,5,1995-2000年,56102.0,,168,3,2
胡桃园,"['30天成交0套', '5套正在出租']",丰台,七里庄,近地铁14号线大井站,11,1979-2001年,48842.0,,30,5,2
横五条18号院,"['30天成交0套', '0套正在出租']",丰台,刘家窑,近地铁5号线宋家庄站,11,1970-1989年,48635.0,,30,0,2
恒富中街4号院,"['30天成交0套', '1套正在出租']",丰台,科技园区,近地铁9号线科怡路站,11,1995-2003年,52677.0,,30,1,2
恒富中街7号院,"['30天成交0套', '1套正在出租']",丰台,科技园区,,11,1995-1997年,40063.0,,30,1,2
恒富中街6号院,"['30天成交0套', '5套正在出租']",丰台,科技园区,近地铁9号线科怡路站,11,1995-2001年,38507.0,,30,5,5
横五条,"['30天成交0套', '1套正在出租']",丰台,刘家窑,近地铁5号线宋家庄站,11,1980-1990年,40637.0,,30,1,2
横五条2号院,"['共20个户型', '30天成交0套', '0套正在出租']",丰台,刘家窑,近地铁5号线刘家窑站,11,1985年,43605.0,,20,0,2
横五条35号院,"['30天成交0套', '0套正在出租']",丰台,刘家窑,近地铁5号线宋家庄站,11,1990年,47551.0,,30,0,2
石榴庄西街,"['30天成交1套', '2套正在出租']",丰台,赵公口,近地铁10号线石榴庄站,11,1988-1993年,47862.0,,30,2,2
松林庄,"['共48个户型', '30天成交0套', '2套正在出租']",丰台,和义,近地铁8号线和义站,11,2008-2014年,41361.0,,48,2,2
石榴庄南里甲8号院,"['30天成交0套', '0套正在出租']",丰台,赵公口,近地铁5号线宋家庄站,11,2005年,,,30,0,0
四路通17号院,"['30天成交0套', '0套正在出租']",丰台,洋桥,近地铁4号线大兴线北京南站站,11,1991-1997年,48380.0,,30,0,2
顺六条,"['30天成交0套', '2套正在出租']",丰台,刘家窑,近地铁5号线宋家庄站,11,1995-1998年,46648.0,,30,2,2
石榴庄小区,"['30天成交0套', '0套正在出租']",丰台,刘家窑,近地铁5号线宋家庄站,11,1987年,,,30,0,0
顺四条甲20号院,"['30天成交0套', '1套正在出租']",丰台,刘家窑,近地铁5号线刘家窑站,12,1995-1999年,52622.0,,30,1,2
三星庄园,"['30天成交0套', '6套正在出租']",丰台,马家堡,,12,2003-2005年,53687.0,,30,6,2
盛鑫嘉园,"['30天成交0套', '13套正在出租']",丰台,丽泽,近地铁10号线泥洼站,2,2001-2005年,63592.0,,30,13,2
顺五条,"['30天成交1套', '0套正在出租']",丰台,刘家窑,近地铁5号线刘家窑站,11,1992-2002年,47888.0,,30,0,2
顺驰蓝调,"['30天成交0套', '21套正在出租']",丰台,菜户营,近地铁14号线 菜户营站,7,2008-2009年,88558.0,,30,21,4
双城公寓,"['共137个户型', '30天成交0套', '2套正在出租']",丰台,木樨园,,2,1999-2002年,47002.0,,137,2,2
时代财富天地,"['30天成交0套', '0套正在出租']",丰台,科技园区,近地铁16号线富丰桥站,2,2000-2009年,30824.0,,30,0,5
四方景园三区,"['共253个户型', '30天成交2套', '1套正在出租']",丰台,成寿寺,,0,2006-2007年,57502.0,,253,1,2
首都医科大学,"['30天成交0套', '0套正在出租']",丰台,右安门外,近地铁14号线西铁营站,11,1986-1994年,76452.0,,30,0,4
四方景园五区,"['共180个户型', '30天成交0套', '8套正在出租']",丰台,成寿寺,近地铁10号线成寿寺站,8,1999-2014年,54190.0,,180,8,2
顺欣嘉园,"['共53个户型', '30天成交0套', '3套正在出租']",丰台,刘家窑,近地铁5号线宋家庄站,2,2013-2014年,59899.0,,53,3,2
山语城三区,"['30天成交0套', '5套正在出租']",丰台,丰台其它,,11,2011-2017年,42693.0,,30,5,2
小井润园11号院,"['30天成交0套', '0套正在出租']",丰台,七里庄,近地铁9号线七里庄站,11,2012-2013年,52131.0,,30,0,2
枫林商务酒店,"['30天成交0套', '0套正在出租']",丰台,七里庄,,2,未知,39036.0,,30,0,5
西局玉园,"['30天成交0套', '4套正在出租']",丰台,七里庄,近地铁10号线西局站,8,2000-2018年,71675.0,,30,4,4
高鑫家园,"['30天成交0套', '7套正在出租']",丰台,科技园区,,6,2010-2016年,,,30,7,0
润都大厦,"['30天成交0套', '8套正在出租']",丰台,宋家庄,,0,2013年,57282.0,,30,8,2
锦苑A区,"['30天成交0套', '2套正在出租']",丰台,和义,,12,1985-2015年,,,30,2,0
天怡福园,"['30天成交1套', '3套正在出租']",丰台,宋家庄,,11,2015-2016年,62915.0,,30,3,2
首开玲珑汇,"['30天成交0套', '4套正在出租']",丰台,青塔,,11,2012-2013年,29642.0,,30,4,5
五爱屯东街64号院,"['30天成交0套', '0套正在出租']",丰台,西红门,,11,1986-1993年,32895.0,,30,0,5
锦苑B区,"['30天成交0套', '0套正在出租']",丰台,和义,,11,2000-2013年,,,30,0,0
亿朋苑三区,"['30天成交0套', '26套正在出租']",丰台,玉泉营,近地铁10号线纪家庙站,12,2005-2022年,,,30,26,0
梅市口路甲12号院,"['30天成交0套', '3套正在出租']",丰台,岳各庄,,11,2013年,,,30,3,0
桃杨路,"['30天成交0套', '0套正在出租']",丰台,蒲黄榆,近地铁5号线蒲黄榆站,9,1950年,,,30,0,0
槐房南里300号院,"['30天成交0套', '0套正在出租']",丰台,新宫,近地铁4号线大兴线新宫站,11,1980-1995年,57977.0,,30,0,2
海鹰路6号院,"['30天成交0套', '0套正在出租']",丰台,科技园区,,5,未知,,,30,0,0
扶轮胡同,"['30天成交0套', '1套正在出租']",丰台,丰台其它,,14,1976-1988年,29602.0,,30,1,5
紫辰院,"['30天成交0套', '3套正在出租']",丰台,岳各庄,,12,2016-2020年,86576.0,,30,3,4
航丰路6号院,"['30天成交0套', '0套正在出租']",丰台,科技园区,近地铁16号线富丰桥站,2,未知,,,30,0,0
幸福家园5号院,"['30天成交0套', '10套正在出租']",丰台,科技园区,近地铁房山线白盆窑站,12,2000-2016年,,,30,10,0
樊家村甲6号院,"['30天成交0套', '3套正在出租']",丰台,玉泉营,近地铁10号线丰台站站,11,2010-2011年,60125.0,,30,3,2
幸福家园1号院,"['30天成交0套', '7套正在出租']",丰台,科技园区,近地铁房山线白盆窑站,11,2000-2016年,,,30,7,0
中奥广场首站,"['30天成交0套', '1套正在出租']",丰台,丰台其它,,5,2013年,19705.0,,30,1,5
顶秀金颐家园,"['30天成交0套', '7套正在出租']",丰台,宋家庄,近地铁5号线宋家庄站,5,2013-2015年,61700.0,,30,7,2
周庄子家园,"['30天成交1套', '11套正在出租']",丰台,七里庄,近地铁10号线西局站,11,2011-2015年,73147.0,,30,11,4
怡和世家,"['30天成交0套', '29套正在出租']",丰台,赵公口,近地铁5号线宋家庄站,6,2011-2014年,,,30,29,0
彩虹嘉园,"['30天成交0套', '19套正在出租']",丰台,五里店,近地铁14号线大井站,11,2014-2015年,,,30,19,0
海鹰路1号,"['30天成交0套', '0套正在出租']",丰台,科技园区,近地铁16号线富丰桥站,10,2000年,,,30,0,0
顶秀金瑞家园,"['30天成交1套', '7套正在出租']",丰台,宋家庄,近地铁5号线宋家庄站,12,2013-2015年,51041.0,,30,7,2
鑫源国际,"['30天成交0套', '10套正在出租']",丰台,成寿寺,近地铁10号线分钟寺站,3,2006-2011年,36916.0,,30,10,5
西铁营,"['30天成交0套', '0套正在出租']",丰台,右安门外,近地铁14号线 菜户营站,0,2017年,,,30,0,0
