,关键词,词频占比
144,森林公园,0.010267109901230913
145,售房,0.010263454497056918
146,花园,0.010223041425517913
147,抵押,0.010191948371509557
148,百货,0.010021451057680417
149,1.5%,0.00998831749589556
150,14,0.00998831749589556
151,西侧,0.009800645788098172
152,私密性,0.009755970968167103
153,刚需,0.009738609558498172
154,宽敞,0.009719970587048772
155,不错,0.009694361072114882
156,天街,0.009690312320835509
157,中医院,0.009621668988427362
158,200,0.009488901621100783
159,500,0.009488901621100783
160,大客厅,0.009358328412739425
161,门口,0.009348184793909139
162,娱乐,0.009302033359455666
163,生鲜,0.009289424894721671
164,设施,0.009289326166160208
165,贷款,0.00924362223655645
166,环境,0.009200442761755613
167,设计,0.009120476009400313
168,改善,0.009095621998339845
169,楼龄,0.00909180621101201
170,一家人,0.008889179625939008
171,农业银行,0.008875466812774098
172,房本,0.008739777808908616
173,总高,0.008739777808908616
174,朝阳,0.008688512760436137
175,房龄,0.008649611815168667
176,卖房,0.00862566029191645
177,地铁站,0.008579971541447521
178,公交,0.008559871036303708
179,满五,0.008490069871511227
180,北边,0.00833633078811718
181,公交站,0.008286936426092949
182,特莱斯,0.008049309792031332
183,带有,0.008010885191763552
184,两卫,0.00799065399671645
185,带飘窗,0.00799065399671645
186,健身,0.007961152524931174
187,年轻人,0.007810011115731175
188,南边,0.007762813078784334
189,大鸭梨,0.00774094605931906
190,效果,0.0077394693464142034
191,公交车站,0.007715022577121671
192,名下,0.007642437604009608
193,三代人,0.007628748243565535
194,区内,0.007563425078568356
195,农商,0.007527349353875719
196,人群,0.007508870706519061
197,一层,0.007502341212727937
198,301,0.007491238121921671
199,人车,0.007491238121921671
200,位置,0.007467410360665692
201,购买,0.007440780603194152
202,住房,0.007437027012205535
203,变现,0.007430613309567415
204,卖场,0.007394942366354048
205,步行,0.007392673824480417
206,西门,0.007313182334732115
207,凯德,0.007267734240626632
208,楼间距,0.007258839504960836
209,干湿,0.007253538198492742
210,签价,0.0072415301845242825
211,朝北,0.007214637801932115
212,商圈,0.007168595624330027
213,龙湖,0.007043088848877911
214,首付,0.0070385078642631865
215,饭店,0.007018231347834568
216,双卧,0.006991822247126894
217,三居,0.006991822247126894
218,两间,0.006731468186268408
219,大悦,0.006636677211722192
220,朝东,0.00660055257775457
221,结构,0.006559032368396866
222,双卫,0.006492406372332115
223,24,0.006492406372332115
224,便民,0.0064238200061409925
225,首航,0.006355922296388512
226,小孩,0.006296335787045431
227,建行,0.006289292347334099
228,工商,0.006235935696366162
229,完善,0.006223897734798956
230,正对,0.006205302886509451
231,四户,0.006161665874631854
232,果蔬,0.006128003185898695
233,山姆,0.006056445200522193
234,摆放,0.005964689932511749
235,健身房,0.005960287724879373
236,位于,0.005912630277819948
237,保持,0.005883175652261515
238,右手边,0.0058670051966663184
239,户口,0.0058632911393274156
240,朝向,0.0058311589358788505
241,安贞医院,0.005807071603968669
242,美廉美,0.005793381512259008
243,动静,0.005762739732812114
244,大型,0.005748662956423394
245,800,0.005743282560139948
246,东南,0.005701247526933681
247,影院,0.005694520552853264
248,商城,0.005683143152265692
249,舒适度,0.005682662748156658
250,左手边,0.005648193718412533
251,需求,0.0056163208165389035
252,朝西,0.005557483610443864
253,楼下,0.005539896265703186
254,房屋,0.005527608763997911
255,朝阳医院,0.005516718023770235
256,医疗,0.005495015841896606
257,100,0.005493574622742559
258,12,0.005493574622742559
259,朝北带,0.005493574622742559
260,出让金,0.005485323035324491
261,整体,0.005458299581015352
262,西南,0.0054111182001219844
263,群体,0.005360148309883865
264,首钢,0.005353489002352794
265,航天,0.005303498469163446
266,一应俱全,0.005294766337493473
267,中国银行,0.005280036424150392
268,15,0.00524386668534517
269,MALL,0.00524386668534517
270,1.5,0.00524386668534517
271,来源于,0.005202832218000627
272,东边,0.005202308040652533
273,增值税,0.005187816448172115
274,面宽,0.005143348384747781
