,关键词,词频占比
140,大院,0.008489177180725518
141,水岸,0.008411617346612325
142,一巷,0.008398822706983467
143,西巷,0.008293283040513355
144,北巷,0.008293283040513355
145,33,0.008293283040513355
146,61,0.008293283040513355
147,64,0.008293283040513355
148,50,0.008293283040513355
149,28,0.008293283040513355
150,38,0.008293283040513355
151,52,0.008293283040513355
152,三虎桥,0.008293283040513355
153,23,0.008293283040513355
154,良园,0.008293283040513355
155,二里,0.008254119855445715
156,新区,0.00822703350652214
157,小街,0.008134317302821135
158,青年,0.008074762377479477
159,护国寺,0.008045849850156087
160,东大街,0.007969876876979998
161,基地,0.007942850298504452
162,31,0.007602176120470575
163,路甲,0.007602176120470575
164,29,0.007602176120470575
165,德外,0.007602176120470575
166,名苑,0.007602176120470575
167,阜成路,0.007400893376864379
168,五条,0.007310903273284772
169,玉泉路,0.007232402524453694
170,中关村,0.007125903663680195
171,东园,0.0071175223702104285
172,和义,0.007105584310035842
173,北三环,0.00700158196526188
174,昊天,0.00700158196526188
175,潞河,0.007000183941900799
176,北京城,0.006954686668036767
177,东方,0.0069308576847959295
178,阜成门,0.006929347656295525
179,65,0.006911069200427795
180,SOHO,0.006911069200427795
181,46,0.006911069200427795
182,首城,0.006911069200427795
183,华业,0.006911069200427795
184,59,0.006911069200427795
185,厂洼街,0.006911069200427795
186,马家堡,0.006911069200427795
187,云岗,0.006911069200427795
188,写字楼,0.006880835461147532
189,阳光,0.006872989156326744
190,车站,0.006843448201985779
191,世家,0.006719365227293328
192,山水,0.006677218589949705
193,新桥,0.0066558905609029936
194,和平,0.0065481148584142675
195,黑山,0.006545105468831079
196,永康,0.0064331927505549774
197,黄寺,0.006428802243958839
198,西井,0.006428802243958839
199,御园,0.006395025879032258
200,三家店,0.006395025879032258
201,蜂窝,0.006382377583198057
202,关东,0.006376099514852585
203,都市,0.006276495570126026
204,翠湖,0.006275959772401433
205,中学,0.006225504640296566
206,南宫,0.006225450437380044
207,55,0.0062199622803850154
208,34,0.0062199622803850154
209,白广路,0.0062199622803850154
210,厂洼,0.0062199622803850154
211,泥洼路,0.0062199622803850154
212,欣园,0.0062199622803850154
213,西四环,0.0062199622803850154
214,小屯路,0.0062199622803850154
215,泰禾,0.0062199622803850154
216,佟馨,0.0062199622803850154
217,河湾,0.006165789996437738
218,开国,0.006150274561071222
219,城子,0.006147085363694068
220,公园,0.00612128180324315
221,华严,0.0060893639854318424
222,开阳,0.006069765447045901
223,四季,0.006044379608473234
224,东交民巷,0.0059395270562955255
225,青春,0.005936548506308822
226,花语,0.005920714701491503
227,温泉,0.005905571894887848
228,果园,0.005898380125189039
229,艺苑,0.005897881526795005
230,昌平,0.00586809671595618
231,天赐,0.005861647321251011
232,一号,0.005844061116919876
233,街坊,0.005816739627099664
234,启航,0.005786135595964851
235,五里,0.005784670058945543
236,梨园,0.005740771036200717
